#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Crédito inicial 2016,Modificaciones 2016,Credito definitivo 2016,Obligado 2016
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,22699,BESTELAKO GASTUAK,110,9,2,5300,0,5300,0
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,22717,BIDAI AGENTZIETAKO ZERBITZUAK,110,9,2,600,0,600,0
110,ALKATETZA ETA KONTRATAZIOA,9313,KONTRATAZIOA,23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA",110,9,2,700,0,700,0
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",2411,ENPLEGURAKO LAGUNTZA,43203,TRANSFERENTZIA ARRUNTAK BILBAO EKINTZA,120,2,4,13817660,3417777.89,17235437.89,16626230.09
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",2411,ENPLEGURAKO LAGUNTZA,73203,KAPITAL TRANSFERENTZIAK BILBAO EKINTZARI,120,2,7,920000,0,920000,660778.35
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",4321,TURISMOAREN SUSTAPENA ETA LAGUNTZA,43203,TRANSFERENTZIA ARRUNTAK BILBAO EKINTZA,120,4,4,2930000,0,2930000,2930000
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",4391,HIRIAREN SUSTAPENA,43203,TRANSFERENTZIA ARRUNTAK BILBAO EKINTZA,120,4,4,5419800,0,5419800,5419800
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",9121,UDAL GOBERNUARI LAGUNTZEA,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,120,9,1,69986,0,69986,69985.08
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",9121,UDAL GOBERNUARI LAGUNTZEA,16001,GIZARTE SEGURANTZA,120,9,1,14314,0,14314,10706.82
130,EKONOMIA ETA OGASUNA,0111,ZOR PUBLIKOA,33201,EPE LUZERAKO BARRUKO MAILEGUEN INTERESAK,130,0,3,200000,0,200000,0
130,EKONOMIA ETA OGASUNA,1511,HIRIGINTZA PLANEAMENDUA,83202,GAINERAKO SEKTORE PUBLIKOAREN AURRERAKINAK ETA EPE  LUZERAKO MAILEGUAK EMATEA,130,1,8,0,1499700,1499700,1499700
130,EKONOMIA ETA OGASUNA,1514,DEGRADATUTAKO ESPAZIOAK BIRGAITZEA,64301,"IKERKETAK, AZTERLANAK ETA PROIEKTUAK",130,1,6,15000,0,15000,0
130,EKONOMIA ETA OGASUNA,1514,DEGRADATUTAKO ESPAZIOAK BIRGAITZEA,68001,LURRAK ETA ONDARE ONDASUN NATURALAK,130,1,6,4670000,0,4670000,4670000
130,EKONOMIA ETA OGASUNA,1611,UREN HORNIDURA,22101,ENERGIA ELEKTRIKOAREN HORNIDURA,130,1,2,368000,0,368000,216134.06
130,EKONOMIA ETA OGASUNA,1611,UREN HORNIDURA,22102,URAREN HORNIDURA,130,1,2,2912279,0,2912279,2637857.43
130,EKONOMIA ETA OGASUNA,1651,KALE-ARGITERIA,22101,ENERGIA ELEKTRIKOAREN HORNIDURA,130,1,2,5152000,0,5152000,3661310.96
130,EKONOMIA ETA OGASUNA,3231,HAUR ETA LEHEN HEZKUNTZAKO IKASTETXEEN FUNTZIONAMENDUA,22101,ENERGIA ELEKTRIKOAREN HORNIDURA,130,3,2,1380000,0,1380000,980708.3
130,EKONOMIA ETA OGASUNA,9202,GIZA BALIABIDEEN KUDEAKETA,16205,FUNTZIONARIOEN ETA LAN-KONTRATUKOAK EZ DIRENEN ASEGURUAK,130,9,1,820000,0,820000,468835.66
130,EKONOMIA ETA OGASUNA,9202,GIZA BALIABIDEEN KUDEAKETA,22707,AZTERLAN ETA LAN TEKNIKOAK,130,9,2,8000,0,8000,10890
130,EKONOMIA ETA OGASUNA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,130,9,1,0,0,0,511.65
130,EKONOMIA ETA OGASUNA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,12101,LANTOKI OSAGARRIA,130,9,1,0,0,0,278.76
130,EKONOMIA ETA OGASUNA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,12102,OSAGARRI BEREZIA,130,9,1,0,0,0,555.97
130,EKONOMIA ETA OGASUNA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,20901,BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA,130,9,2,16360,0,16360,13192.85
130,EKONOMIA ETA OGASUNA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,64401,APLIKAZIO INFORMATIKOAK,130,9,6,300000,0,300000,0
130,EKONOMIA ETA OGASUNA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,64409,APLICACIONES INFORMÁTICAS (TALDEKO ERAKUNDEAK),130,9,6,0,466572.26,466572.26,826712.5
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,130,9,1,276580,0,276580,220639.92
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12101,LANTOKI OSAGARRIA,130,9,1,99292,0,99292,115160.45
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12102,OSAGARRI BEREZIA,130,9,1,353485,0,353485,374444.63
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12103,PRODUKTIBITATE OSAGARRIA,130,9,1,49019,0,49019,61748.62
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12104,HABOROKINAK,130,9,1,1820,0,1820,1850.25
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12105,PRESTAZIOAK ETA OSAGARRIAK ALDI BATERAKO EZINTASUNAK,130,9,1,0,0,0,32197.92
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,16001,GIZARTE SEGURANTZA,130,9,1,180253,0,180253,179161.32
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,16004,ELKARKIDETZAKO KUOTAK,130,9,1,16852,0,16852,16684.36
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,21301,GARRAIO MATERIALEN IRAUNARAZPENA,130,9,2,120000,-6000,114000,66385.77
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,21501,INFORMAZIO PROZESUETARAKO EKIPAMENDUEN KONTSERBAZIOA,130,9,2,0,0,0,544.5
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22104,ERREGAIEN HORNIDURA,130,9,2,450000,0,450000,214962.24
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22199,BESTELAKO HORNIDURAK,130,9,2,10000,0,10000,0
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22402,IBILGAILUEN ASEGURUAK,130,9,2,400000,-100000,300000,290502.27
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22502,BIZKAIKO TRIBUTUAK,130,9,2,0,33413.34,33413.34,36817.47
