#Orgánica,,Programa,,Subconcepto,,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Presupuesto inicial (Proyecto Ppto.)
110,"ALKATETZA,KONTRATAZIO ETA GIZA BALIABIDEAK",9313,KONTRATAZIOA,23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA",110,9,2,700
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",2411,ENPLEGURAKO LAGUNTZA,43203,TRANSFERENTZIA ARRUNTAK BILBAO EKINTZA,120,2,4,15890200
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",2411,ENPLEGURAKO LAGUNTZA,73203,KAPITAL TRANSFERENTZIAK BILBAO EKINTZARI,120,2,7,400000
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",4321,TURISMOAREN SUSTAPENA ETA LAGUNTZA,43203,TRANSFERENTZIA ARRUNTAK BILBAO EKINTZA,120,4,4,2900000
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",4321,TURISMOAREN SUSTAPENA ETA LAGUNTZA,73203,KAPITAL TRANSFERENTZIAK BILBAO EKINTZARI,120,4,7,5000
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",4391,HIRIAREN SUSTAPENA,43203,TRANSFERENTZIA ARRUNTAK BILBAO EKINTZA,120,4,4,5219800
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",9121,UDAL GOBERNUARI LAGUNTZEA,10001,GOI KARGUEN OINARRIZKO SOLDATAK ETA BESTELAKO LANSARIAK,120,9,1,71168
120,"EKONOMI GARAPEN,MERKATARITZA ETA ENPLEGUA",9121,UDAL GOBERNUARI LAGUNTZEA,16001,GIZARTE SEGURANTZA,120,9,1,14832
130,EKONOMIA ETA OGASUNA,1511,HIRIGINTZA PLANEAMENDUA,83202,GAINERAKO SEKTORE PUBLIKOAREN AURRERAKINAK ETA EPE  LUZERAKO MAILEGUAK EMATEA,130,1,8,750000
130,EKONOMIA ETA OGASUNA,1514,DEGRADATUTAKO ESPAZIOAK BIRGAITZEA,64301,"IKERKETAK, AZTERLANAK ETA PROIEKTUAK",130,1,6,20000
130,EKONOMIA ETA OGASUNA,1514,DEGRADATUTAKO ESPAZIOAK BIRGAITZEA,68001,LURRAK ETA ONDARE ONDASUN NATURALAK,130,1,6,2170000
130,EKONOMIA ETA OGASUNA,1611,UREN HORNIDURA,22101,ENERGIA ELEKTRIKOAREN HORNIDURA,130,1,2,332000
130,EKONOMIA ETA OGASUNA,1611,UREN HORNIDURA,22102,URAREN HORNIDURA,130,1,2,2500000
130,EKONOMIA ETA OGASUNA,1651,KALE-ARGITERIA,22101,ENERGIA ELEKTRIKOAREN HORNIDURA,130,1,2,4248900
130,EKONOMIA ETA OGASUNA,3231,HAUR ETA LEHEN HEZKUNTZAKO IKASTETXEEN ETA HEZKUNTZA BEREZIKO IKASTETXEEN FUNTZ.,22101,ENERGIA ELEKTRIKOAREN HORNIDURA,130,3,2,1245000
130,EKONOMIA ETA OGASUNA,9202,GIZA BALIABIDEEN KUDEAKETA,16205,FUNTZIONARIOEN ETA LAN-KONTRATUKOAK EZ DIRENEN ASEGURUAK,130,9,1,1300000
130,EKONOMIA ETA OGASUNA,9202,GIZA BALIABIDEEN KUDEAKETA,22707,AZTERLAN ETA LAN TEKNIKOAK,130,9,2,3000
130,EKONOMIA ETA OGASUNA,9204,INFORMAZIOA TRATATZEKO ZERBITZUAK,20901,BESTELAKO IBILGETU MATERIALAREN ERRENTAMENDUA,130,9,2,13200
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,130,9,1,267909
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12101,LANTOKI OSAGARRIA,130,9,1,96411
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12102,OSAGARRI BEREZIA,130,9,1,342027
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12103,PRODUKTIBITATE OSAGARRIA,130,9,1,48201
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,12104,HABOROKINAK,130,9,1,1802
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,16001,GIZARTE SEGURANTZA,130,9,1,177542
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,16004,ELKARKIDETZAKO KUOTAK,130,9,1,15857
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,21301,GARRAIO MATERIALEN IRAUNARAZPENA,130,9,2,120000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22104,ERREGAIEN HORNIDURA,130,9,2,450000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22199,BESTELAKO HORNIDURAK,130,9,2,6000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22402,IBILGAILUEN ASEGURUAK,130,9,2,320000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22502,BIZKAIKO TRIBUTUAK,130,9,2,5000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22603,PUBLIZITATEA ETA PROPAGANDA,130,9,2,3000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22610,KALTE-ORDAINAK,130,9,2,2000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22699,BESTELAKO GASTUAK,130,9,2,11000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22707,AZTERLAN ETA LAN TEKNIKOAK,130,9,2,18000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22712,ZERBITZU INFORMATIKOAK,130,9,2,58468
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,22717,BIDAI AGENTZIETAKO ZERBITZUAK,130,9,2,1000
130,EKONOMIA ETA OGASUNA,9205,UDALEKO BESTE ZERBITZU KOMUN BATZUK,23001,"BIDAI SARIAK, PERTSONALAREN GARRAIOA ETA LOKOMOZIOA",130,9,2,10000
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12001,FUNTZIONARIOEN OINARRIZKO SOLDATAK,130,9,1,441415
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12101,LANTOKI OSAGARRIA,130,9,1,170669
130,EKONOMIA ETA OGASUNA,9209,ZERBITZUETAKO GASTU KOMUNAK,12102,OSAGARRI BEREZIA,130,9,1,494669
